group3,nic_div,workers_m
251,62,3.58565131875
251,63,0.08891877625
251,64,0.0074033675
251,70,0.00118286375
251,71,0.026168917500000003
251,72,0.00118286375
251,74,0.00717008
251,78,0.0012929225000000001
251,82,0.025115075
251,84,0.00532617875
251,85,0.0032436287499999997
251,86,0.00145332875
252,18,0.0419201875
252,21,0.00506519875
252,43,0.0047419312499999994
252,46,0.00391096
252,52,0.00588133625
252,58,0.00032174875
252,61,0.0032142324999999998
252,62,0.08530533125
252,63,0.08242501375
252,66,0.00090407125
252,70,0.0014587637500000001
252,71,0.00174721375
252,78,0.00353775875
252,82,0.01551608625
252,84,0.0023136575
252,85,0.00368353625
252,86,0.005547441249999999
252,95,0.00217557875
261,62,0.001730365
261,63,0.0049002412499999995
261,64,0.00565961
261,69,0.712440415
261,80,0.00078161
261,82,0.00033033499999999996
261,84,0.083587535
261,85,0.0011581837500000002
261,94,0.0124499225
261,96,0.01593791125
262,63,0.00146512625
262,64,0.00157518875
262,84,0.0027229825
262,85,0.031229033749999996
262,86,0.00023816499999999998
262,91,0.03938954125
263,8,0.00252971
263,64,0.00227168
263,69,0.001571915
263,73,0.0031863349999999998
263,82,0.00242988625
263,84,0.0272300375
263,85,0.013576222499999999
263,86,0.0055309775
263,87,0.00035829
263,88,0.06713735374999999
263,90,0.000240065
263,94,1.0160663658333333
263,96,0.18069397125
264,18,0.01047827625
264,52,0.0013724925
264,58,0.03523697
264,59,0.005264835
264,60,0.00459562875
264,62,0.07641320624999999
264,63,0.0626092475
264,69,0.0021511062499999997
264,74,0.0040897825
264,78,0.0015459987499999999
264,82,0.00196652875
264,84,0.008817555
264,90,0.03663116875
265,13,0.0014987574999999998
265,20,0.0008672587499999999
265,23,0.04117723125
265,43,0.0012589625000000001
265,56,0.00018797125
265,59,0.07486746374999999
265,60,0.00543153125
265,73,0.0036978550000000003
265,74,0.024757755
265,77,0.0021617475
265,85,0.009778504999999998
265,90,0.41020854
265,93,0.0168347475
265,94,0.00216887375
265,96,0.013599108749999998
311,5,0.000937985
311,6,0.00135328625
311,10,0.0058412625000000004
311,13,0.00847416375
311,14,0.0022476775
311,19,0.01667239125
311,20,0.031962977499999996
311,21,0.006398165
311,22,0.00317000375
311,23,0.00374598
311,24,0.01678744
311,25,0.00255887375
311,26,0.03387137625
311,27,0.0263376575
311,28,0.0059868875
311,29,0.013381810000000001
311,30,0.038911327499999995
311,32,0.00740690875
311,33,0.012766178750000001
311,35,0.06060483125
311,36,0.00049461
311,37,0.0024872312499999998
311,41,0.0199919575
311,42,0.013931475
311,43,0.008396647499999998
311,45,0.02489315625
311,46,0.00155941625
311,47,0.0025331424999999997
311,49,0.031382195
311,52,0.00211373125
311,55,0.0030278787499999995
311,56,0.00129140875
311,61,0.02259637875
311,62,0.0037841612499999997
311,64,0.00421684
311,71,0.016459235
311,72,0.00021715875
311,77,0.00246197625
311,80,0.01922921875
311,82,0.0008155274999999999
311,84,0.049766365
311,85,0.02689751
311,86,0.02041076125
311,95,0.01453017875
312,1,0.006326092499999999
312,5,0.04010242375
312,6,0.0069827525
312,7,0.0135738425
312,8,0.047395536249999995
312,10,0.12516636875
312,11,0.00962838375
312,12,0.00943714125
312,13,0.09821039125
312,14,0.10516926374999999
312,15,0.068702745
312,16,0.0242718475
312,17,0.030134534999999997
312,18,0.0070259712500000005
312,19,0.01727501875
312,20,0.07760176499999999
312,21,0.06689742375
312,22,0.045147265
312,23,0.03734259
312,24,0.06718935000000001
312,25,0.06680010624999999
312,26,0.044947442500000004
312,27,0.033172589999999995
312,28,0.10372475375
312,29,0.06578818
312,30,0.03170996875
312,31,0.02507990375
312,32,0.029364519999999998
312,33,0.00598757875
312,35,0.06880357875
312,36,0.022810752499999996
312,37,0.008904386249999998
312,38,0.00404722125
312,41,0.44857324125
312,42,0.2146931225
312,43,0.076241955
312,45,0.0092157575
312,46,0.04059548625
312,47,0.00246718625
312,49,0.00765005875
312,50,0.003378495
312,52,0.0070942875
